STATION_ID,STATION_LOCATION,STATE_NAME,LATITUDE,LONGITUDE,API,CLASS,HOUR_MYT,TEMPERATURE_C,RAIN_FORECAST_SLOTS,HOTSPOT_COUNT,FRP_MW_MEAN,FRP_MW_MAX,HIGH_CONF_COUNT,HOTSPOT_COUNT_100KM,FRP_MW_MEAN_100KM,FRP_MW_MAX_100KM,HIGH_CONF_COUNT_100KM,DATA_FLAG
CA65Q,"Kuching, SARAWAK",Sarawak,1.562167,110.388916,22.0,Good,2026-05-06 19:00:00,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA65Q,"Kuching, SARAWAK",Sarawak,1.562167,110.388916,23.0,Good,2026-05-07 09:00:00,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA65Q,"Kuching, SARAWAK",Sarawak,1.562167,110.388916,22.0,Good,2026-05-07 10:00:00,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA65Q,"Kuching, SARAWAK",Sarawak,1.562167,110.388916,22.0,Good,2026-05-07 11:00:00,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA66J,"Tangkak, JOHOR",Johor,2.295748,102.571313,61.0,Moderate,2026-05-06 19:00:00,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA66J,"Tangkak, JOHOR",Johor,2.295748,102.571313,46.0,Good,2026-05-07 09:00:00,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA66J,"Tangkak, JOHOR",Johor,2.295748,102.571313,44.0,Good,2026-05-07 10:00:00,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA66J,"Tangkak, JOHOR",Johor,2.295748,102.571313,43.0,Good,2026-05-07 11:00:00,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM001,JOHAN SETIA,Selangor,2.978311,101.489422,81.0,Moderate,2026-05-06 19:00:00,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM001,JOHAN SETIA,Selangor,2.978311,101.489422,75.0,Moderate,2026-05-07 09:00:00,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM001,JOHAN SETIA,Selangor,2.978311,101.489422,74.0,Moderate,2026-05-07 10:00:00,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM001,JOHAN SETIA,Selangor,2.978311,101.489422,73.0,Moderate,2026-05-07 11:00:00,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM002,IPD Serian,Sarawak,1.172556,110.568164,63.0,Moderate,2026-05-06 19:00:00,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM002,IPD Serian,Sarawak,1.172556,110.568164,53.0,Moderate,2026-05-07 09:00:00,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM002,IPD Serian,Sarawak,1.172556,110.568164,52.0,Moderate,2026-05-07 10:00:00,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM002,IPD Serian,Sarawak,1.172556,110.568164,52.0,Moderate,2026-05-07 11:00:00,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM003,Politeknik Kota Kinabalu,Sabah,6.097122,116.166454,53.0,Moderate,2026-05-06 19:00:00,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM003,Politeknik Kota Kinabalu,Sabah,6.097122,116.166454,58.0,Moderate,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM003,Politeknik Kota Kinabalu,Sabah,6.097122,116.166454,57.0,Moderate,2026-05-07 10:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MCAQM003,Politeknik Kota Kinabalu,Sabah,6.097122,116.166454,57.0,Moderate,2026-05-07 11:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
